rank,word,score,non_overlapping_word,non_overlapping_score
10131,psyop,36.2928870292887,raile,87.0532521871434
10132,gabba,36.2890833016356,sored,83.68276911373147
10133,popup,36.27044503613541,sared,88.85393685812096
10134,limbi,36.263598326359826,soare,90.64511220996577
10135,flump,36.26093571700266,soare,90.64511220996577
10136,mebbe,36.23430962343096,sorta,77.91441612780525
10137,myopy,36.22137694941042,sared,88.85393685812096
10138,pipit,36.21072651198174,soare,90.64511220996577
10139,abask,36.19855458349182,porey,83.44960060859643
10140,yabba,36.147965005705586,sored,83.68276911373147
10141,yabby,36.147965005705586,sored,83.68276911373147
10142,phutu,36.125903385317606,soare,90.64511220996577
10143,emeer,36.122860403195126,salty,74.36059338151388
10144,emmer,36.122860403195126,salty,74.36059338151388
10145,ettle,36.1217192848992,sonar,77.73221757322176
10146,pichi,36.08139977177634,soare,90.64511220996577
10147,fedex,36.06694560669456,sorta,77.91441612780525
10148,eppie,36.06390262457208,sorta,77.91441612780525
10149,linin,36.061240015214906,soare,90.64511220996577
10150,jiggy,36.06009889691898,soare,90.64511220996577
10151,tutty,36.03841764929631,soare,90.64511220996577
10152,hokku,36.02358311144922,sared,88.85393685812096
10153,nudzh,36.01977938379612,soare,90.64511220996577
10154,vodou,36.00836820083682,saner,88.61658425256752
10155,ofuro,35.98706732597946,saine,87.3351084062381
10156,zorro,35.947888931152534,saine,87.3351084062381
10157,zippo,35.944845949030054,sared,88.85393685812096
10158,quill,35.92202358311145,soare,90.64511220996577
10159,kayak,35.918980600988974,sored,83.68276911373147
10160,bifid,35.91707873716241,soare,90.64511220996577
10161,fesse,35.91555724610117,roany,77.0228223659186
10162,shojo,35.91099277291746,raile,87.0532521871434
10163,fogou,35.87637885127425,sared,88.85393685812096
10164,cliff,35.85736021300875,soare,90.64511220996577
10165,cutup,35.85621909471281,soare,90.64511220996577
10166,nondo,35.84899201217193,sater,87.73183720045645
10167,osmol,35.81095473564093,raine,87.00304298212248
10168,kappa,35.78242677824268,sored,83.68276911373147
10169,klick,35.75047546595664,soare,90.64511220996577
10170,afizz,35.73678204640547,sored,83.68276911373147
10171,sluff,35.72727272727273,porae,88.55534423735261
10172,endew,35.72156713579307,sorta,77.91441612780525
10173,spiff,35.70102700646634,roate,88.05249144161279
10174,unpin,35.6998858881704,soare,90.64511220996577
10175,llama,35.68543172308863,sored,83.68276911373147
10176,fizzy,35.65195891974135,soare,90.64511220996577
10177,jokol,35.64130848231267,sared,88.85393685812096
10178,thoft,35.63141879041461,sared,88.85393685812096
10179,buffy,35.62190947128185,soare,90.64511220996577
10180,modom,35.61962723469,saner,88.61658425256752
10181,kaama,35.59832635983264,sored,83.68276911373147
10182,assai,35.58995815899581,porey,83.44960060859643
10183,nohow,35.58463294028148,sared,88.85393685812096
10184,imido,35.57131989349563,saner,88.61658425256752
10185,cezve,35.54317230886269,sorta,77.91441612780525
10186,hunch,35.52681627995436,soare,90.64511220996577
10187,jembe,35.52605553442373,sorta,77.91441612780525
10188,asana,35.52415367059719,porey,83.44960060859643
10189,knurr,35.50627615062761,salet,86.30353746671739
10190,queek,35.49638645872955,sorta,77.91441612780525
10191,taata,35.49334347660708,sored,83.68276911373147
10192,nymph,35.48953974895397,soare,90.64511220996577
10193,fuggy,35.48535564853556,soare,90.64511220996577
10194,cuffo,35.46139216432104,sared,88.85393685812096
10195,wootz,35.4446557626474,sared,88.85393685812096
10196,muzzy,35.42031190566755,soare,90.64511220996577
10197,nimbi,35.4031951312286,soare,90.64511220996577
10198,scifi,35.39825028527957,porae,88.55534423735261
10199,knock,35.36363636363636,sared,88.85393685812096
10200,wryly,35.36287561810574,saine,87.3351084062381
10201,unbox,35.34537847090148,sared,88.85393685812096
